number,date,player1,player2,player3,note,url,id,season
465,1986-09-19,Marc Wade,Ed Coyne,Tim Singer,Missing first 13 clues.,http://www.j-archive.com/showgame.php?game_id=4788,4788,3
464,1986-09-18,Roger Storm,Karin Hofland,Marc Wade,Roger Storm game 5.,http://www.j-archive.com/showgame.php?game_id=2933,2933,3
463,1986-09-17,Roger Storm,Ira Levine,Linda Leipheimer,Roger Storm game 4.,http://www.j-archive.com/showgame.php?game_id=6076,6076,3
461,1986-09-15,Roger Storm,Kay Guesdon,Thomas Bernhard,Roger Storm game 2.,http://www.j-archive.com/showgame.php?game_id=6073,6073,3
460,1986-09-12,Fern Cogar,Wade Ballard,Roger Storm,Roger Storm game 1.,http://www.j-archive.com/showgame.php?game_id=4089,4089,3
459,1986-09-11,Fern Cogar,Steve Lipman,Tony Barreto,,http://www.j-archive.com/showgame.php?game_id=5123,5123,3
456,1986-09-08,Susan Sackett,Florence Cohen,Sandra Cheltenham,First game of Season 3.,http://www.j-archive.com/showgame.php?game_id=4080,4080,3
6895,2014-08-01,Cooper Lair,Alan Koolik,Jeff Xie,"2014 Teen Tournament final game 2.
Last game of Season 30.",http://www.j-archive.com/showgame.php?game_id=4591,4591,30
6894,2014-07-31,Cooper Lair,Alan Koolik,Jeff Xie,2014 Teen Tournament final game 1.,http://www.j-archive.com/showgame.php?game_id=4589,4589,30
6893,2014-07-30,Alan Koolik,Sam Lerner,Kat Deabill,2014 Teen Tournament semifinal game 3.,http://www.j-archive.com/showgame.php?game_id=4588,4588,30
6892,2014-07-29,Joe Taglic,Cooper Lair,Selena Groh,2014 Teen Tournament semifinal game 2.,http://www.j-archive.com/showgame.php?game_id=4586,4586,30
6891,2014-07-28,Sydney Mokel,Jeff Xie,William Golden,2014 Teen Tournament semifinal game 1.,http://www.j-archive.com/showgame.php?game_id=4584,4584,30
6890,2014-07-25,Sam Lerner,Sydney Mokel,Joe Taglic,2014 Teen Tournament quarterfinal game 5.,http://www.j-archive.com/showgame.php?game_id=4582,4582,30
6889,2014-07-24,Kevin Huang,Alan Koolik,Ananya Nrusimha,2014 Teen Tournament quarterfinal game 4.,http://www.j-archive.com/showgame.php?game_id=4578,4578,30
6888,2014-07-23,Nikki Airi,Eileen Bunch,William Golden,2014 Teen Tournament quarterfinal game 3.,http://www.j-archive.com/showgame.php?game_id=4576,4576,30
6887,2014-07-22,Erin Christopher,Selena Groh,Jeff Xie,2014 Teen Tournament quarterfinal game 2.,http://www.j-archive.com/showgame.php?game_id=4573,4573,30
6886,2014-07-21,Kat Deabill,Cooper Lair,Josiah Takang,2014 Teen Tournament quarterfinal game 1.,http://www.j-archive.com/showgame.php?game_id=4574,4574,30
6885,2014-07-18,Katie Wroblewski,Jeff Filippini,Winston Nguyen,Last regular-play game of Season 30.,http://www.j-archive.com/showgame.php?game_id=4569,4569,30
6884,2014-07-17,Jerome Azbell,Katie Wroblewski,Megan Gardner,,http://www.j-archive.com/showgame.php?game_id=4570,4570,30
6883,2014-07-16,Ed Patterson,Jerome Azbell,Molly Dobbins,,http://www.j-archive.com/showgame.php?game_id=4567,4567,30
6882,2014-07-15,Ben-Hur Flores,Ed Patterson,Anna Lawrence,,http://www.j-archive.com/showgame.php?game_id=4581,4581,30
6881,2014-07-14,Jen Fiero,Virginia Hatfield,Ben-Hur Flores,,http://www.j-archive.com/showgame.php?game_id=4565,4565,30
6880,2014-07-11,Jen Fiero,Andrew Harris,Sandy Carroll,,http://www.j-archive.com/showgame.php?game_id=4561,4561,30
6879,2014-07-10,Campbell Warner,Pete Gittens,Jen Fiero,,http://www.j-archive.com/showgame.php?game_id=4562,4562,30
6878,2014-07-09,Campbell Warner,Sara Tess Neumann,Nick Lasik,,http://www.j-archive.com/showgame.php?game_id=4558,4558,30
6877,2014-07-08,Justin Nigro,Maire Kennedy,Campbell Warner,,http://www.j-archive.com/showgame.php?game_id=4557,4557,30
6876,2014-07-07,Kay Thanaporn,Robyn Stone,Justin Nigro,,http://www.j-archive.com/showgame.php?game_id=4555,4555,30
6875,2014-07-04,Christi Esterle,Kay Thanaporn,Sally Sheinberg,,http://www.j-archive.com/showgame.php?game_id=4551,4551,30
6874,2014-07-03,Christi Esterle,Jeff Versteeg,Beverly Garcia,,http://www.j-archive.com/showgame.php?game_id=4553,4553,30
6873,2014-07-02,Howard Ray,Matthew Harney,Christi Esterle,,http://www.j-archive.com/showgame.php?game_id=4549,4549,30
6872,2014-07-01,Jill Rowley,Shloka Ananthanarayanan,Howard Ray,,http://www.j-archive.com/showgame.php?game_id=4556,4556,30
6871,2014-06-30,Jill Rowley,Melinda Dudley,Ben Zimmer,,http://www.j-archive.com/showgame.php?game_id=4548,4548,30
6870,2014-06-27,Jennifer Blanton,Jill Rowley,Sunil Hari,,http://www.j-archive.com/showgame.php?game_id=4547,4547,30
6869,2014-06-26,Jennifer Blanton,Ari Voukydis,Patti Youngblood,,http://www.j-archive.com/showgame.php?game_id=4546,4546,30
6868,2014-06-25,Jennifer Blanton,Jesse Yu,Alana Norton,,http://www.j-archive.com/showgame.php?game_id=4545,4545,30
6867,2014-06-24,Alison Meermans,Chris Gullo,Jennifer Blanton,,http://www.j-archive.com/showgame.php?game_id=4550,4550,30
6866,2014-06-23,Alison Meermans,James Friscia,Michele Consoli,,http://www.j-archive.com/showgame.php?game_id=4543,4543,30
6865,2014-06-20,Brian Keele,Alison Meermans,Stacy Gardner,,http://www.j-archive.com/showgame.php?game_id=4542,4542,30
6864,2014-06-19,Troy Senik,Brian Keele,Angie Rasmussen,,http://www.j-archive.com/showgame.php?game_id=4541,4541,30
6863,2014-06-18,Paige Ormiston,Troy Senik,Desirée Zicko,,http://www.j-archive.com/showgame.php?game_id=4540,4540,30
6862,2014-06-17,Andrea West,Paige Ormiston,Peter Solderitsch,,http://www.j-archive.com/showgame.php?game_id=4544,4544,30
6861,2014-06-16,Katie Frank,Andrea West,Andrew Winner,,http://www.j-archive.com/showgame.php?game_id=4539,4539,30
6860,2014-06-13,Katie Frank,Shelby O'Neill,Whitney Marshall,Mike Janela of Guinness World Records presents Alex Trebek with...,http://www.j-archive.com/showgame.php?game_id=4538,4538,30
6859,2014-06-12,Darren O'Connor,Katie Frank,Joe Keehnast,,http://www.j-archive.com/showgame.php?game_id=4537,4537,30
6858,2014-06-11,Molly Lalonde,Darren O'Connor,Sari Laufer,,http://www.j-archive.com/showgame.php?game_id=4536,4536,30
6857,2014-06-10,Molly Lalonde,Cindy Summers,Jason Raffile,,http://www.j-archive.com/showgame.php?game_id=4534,4534,30
6856,2014-06-09,Molly Lalonde,Heather Heffner,Jack Barry,,http://www.j-archive.com/showgame.php?game_id=4535,4535,30
6855,2014-06-06,Molly Lalonde,Kathy Haas,Vince Balzano,,http://www.j-archive.com/showgame.php?game_id=4532,4532,30
6854,2014-06-05,Sarah Fremgen,Stacy Layton,Molly Lalonde,,http://www.j-archive.com/showgame.php?game_id=4531,4531,30
6853,2014-06-04,Sarah Fremgen,Heather Powell,Guy Wilson,,http://www.j-archive.com/showgame.php?game_id=4528,4528,30
6852,2014-06-03,Brian Loughnane,Sarah Fremgen,Peter Dyakowski,,http://www.j-archive.com/showgame.php?game_id=4526,4526,30
6851,2014-06-02,Julia Collins,Debra Walsh,Brian Loughnane,Julia Collins game 21.,http://www.j-archive.com/showgame.php?game_id=4527,4527,30
6850,2014-05-30,Julia Collins,Sami Siegelbaum,Wendy Hardenberg,Julia Collins game 20.,http://www.j-archive.com/showgame.php?game_id=4523,4523,30
6849,2014-05-29,Julia Collins,Matt Weldy,FeiFei Jiang,Julia Collins game 19.,http://www.j-archive.com/showgame.php?game_id=4521,4521,30
6848,2014-05-28,Julia Collins,Manuel Bermúdez,Maggie Davis,Julia Collins game 18.,http://www.j-archive.com/showgame.php?game_id=4519,4519,30
6847,2014-05-27,Julia Collins,Jeanne Kaiser,Dylan Gaillard,Julia Collins game 17.,http://www.j-archive.com/showgame.php?game_id=4516,4516,30
6846,2014-05-26,Julia Collins,Simone Chavoor,Steve Martinez,Julia Collins game 16.,http://www.j-archive.com/showgame.php?game_id=4514,4514,30
6845,2014-05-23,Julia Collins,Steve Buechner,Brandon Barnes,Julia Collins game 15.,http://www.j-archive.com/showgame.php?game_id=4511,4511,30
6844,2014-05-22,Julia Collins,Alex Tran,Ryan Real,Julia Collins game 14.,http://www.j-archive.com/showgame.php?game_id=4510,4510,30
6843,2014-05-21,Julia Collins,Sirena Terr,Lara Brenckle Malmont,Julia Collins game 13.,http://www.j-archive.com/showgame.php?game_id=4509,4509,30
6842,2014-05-20,Julia Collins,Kate Hoffman,Clayton Walker,Julia Collins game 12.,http://www.j-archive.com/showgame.php?game_id=4508,4508,30
6841,2014-05-19,Julia Collins,Leah Blumenfeld,James Herman,Julia Collins game 11.,http://www.j-archive.com/showgame.php?game_id=4507,4507,30
6840,2014-05-16,Brad Rutter,Ken Jennings,Roger Craig,Battle of the Decades final game 2.,http://www.j-archive.com/showgame.php?game_id=4506,4506,30
6839,2014-05-15,Brad Rutter,Ken Jennings,Roger Craig,Battle of the Decades final game 1.,http://www.j-archive.com/showgame.php?game_id=4505,4505,30
6838,2014-05-14,Roger Craig,Pam Mueller,Colby Burnett,Battle of the Decades semifinal game 3.,http://www.j-archive.com/showgame.php?game_id=4504,4504,30
6837,2014-05-13,Brad Rutter,Tom Cubbage,Leszek Pawlowicz,Battle of the Decades semifinal game 2.,http://www.j-archive.com/showgame.php?game_id=4502,4502,30
6836,2014-05-12,Ken Jennings,Russ Schumacher,Chuck Forrest,Battle of the Decades semifinal game 1.,http://www.j-archive.com/showgame.php?game_id=4503,4503,30
6835,2014-05-09,Chuck Forrest,Mark Dawson,Colby Burnett,Battle of the Decades quarterfinal game 5.,http://www.j-archive.com/showgame.php?game_id=4500,4500,30
6834,2014-05-08,Tom Cubbage,Rachael Schwartz,Ken Jennings,Battle of the Decades quarterfinal game 4.,http://www.j-archive.com/showgame.php?game_id=4499,4499,30
6833,2014-05-07,Mark Lowenthal,Brad Rutter,Dan Pawson,Battle of the Decades quarterfinal game 3.,http://www.j-archive.com/showgame.php?game_id=4496,4496,30
6832,2014-05-06,Tom Nosek,Pam Mueller,Russ Schumacher,Battle of the Decades quarterfinal game 2.,http://www.j-archive.com/showgame.php?game_id=4493,4493,30
6831,2014-05-05,Leszek Pawlowicz,Robin Carroll,Roger Craig,Battle of the Decades quarterfinal game 1.,http://www.j-archive.com/showgame.php?game_id=4494,4494,30
6830,2014-05-02,Julia Collins,LaWanda London,Elissa Burr,Julia Collins game 10.,http://www.j-archive.com/showgame.php?game_id=4488,4488,30
6829,2014-05-01,Julia Collins,Marlon Morris,Michelle Flaherty,Julia Collins game 9.,http://www.j-archive.com/showgame.php?game_id=4489,4489,30
6828,2014-04-30,Julia Collins,Mallory Howe,John Ogden,Julia Collins game 8.,http://www.j-archive.com/showgame.php?game_id=4485,4485,30
6827,2014-04-29,Julia Collins,Mary Twellman,Nick Lemek,Julia Collins game 7.,http://www.j-archive.com/showgame.php?game_id=4484,4484,30
6826,2014-04-28,Julia Collins,Bob Kochersberger,Sarah Shody,Julia Collins game 6.,http://www.j-archive.com/showgame.php?game_id=4483,4483,30
6825,2014-04-25,Julia Collins,Aimee Seligstein,Hilary Gaughen,Julia Collins game 5.,http://www.j-archive.com/showgame.php?game_id=4481,4481,30
6824,2014-04-24,Julia Collins,James Behrens,Grace Riley,Julia Collins game 4.,http://www.j-archive.com/showgame.php?game_id=4482,4482,30
6823,2014-04-23,Julia Collins,Zia Jones,Brad Wright,Julia Collins game 3.,http://www.j-archive.com/showgame.php?game_id=4480,4480,30
6822,2014-04-22,Julia Collins,Dilip Rajagopalan,Donna Innes,Julia Collins game 2.,http://www.j-archive.com/showgame.php?game_id=4479,4479,30
6821,2014-04-21,Frédérique Delaprée,Julia Collins,Kris Voss,Julia Collins game 1.,http://www.j-archive.com/showgame.php?game_id=4478,4478,30
6820,2014-04-18,Frédérique Delaprée,Jake Bryant,E.A. Srere,,http://www.j-archive.com/showgame.php?game_id=4476,4476,30
6819,2014-04-17,Sandie Baker,Frédérique Delaprée,Kristin McAuliffe,Sandie Baker game 7.,http://www.j-archive.com/showgame.php?game_id=4477,4477,30
6818,2014-04-16,Sandie Baker,Matt Farr,Kathryn Schoenberger,Sandie Baker game 6.,http://www.j-archive.com/showgame.php?game_id=4474,4474,30
6817,2014-04-15,Sandie Baker,Jennie Crabbe,J.D. Lape,Sandie Baker game 5.,http://www.j-archive.com/showgame.php?game_id=4472,4472,30
6816,2014-04-14,Sandie Baker,Chrissy Swisher,Devin Baker,Sandie Baker game 4.,http://www.j-archive.com/showgame.php?game_id=4471,4471,30
6815,2014-04-11,Sandie Baker,Rebecca Baird,Monique Aldred,Sandie Baker game 3.,http://www.j-archive.com/showgame.php?game_id=4470,4470,30
6814,2014-04-10,Sandie Baker,Bruce Leaman,Jessica Guard,Sandie Baker game 2.,http://www.j-archive.com/showgame.php?game_id=4469,4469,30
6813,2014-04-09,Derrick Shivar,Sandie Baker,Ed Hagar,Sandie Baker game 1.,http://www.j-archive.com/showgame.php?game_id=4467,4467,30
6812,2014-04-08,Michelle Leppert,Annalisa Srivatsan,Derrick Shivar,,http://www.j-archive.com/showgame.php?game_id=4466,4466,30
6811,2014-04-07,Amy Nienaber,Michelle Leppert,Jonathan Kuehnle,,http://www.j-archive.com/showgame.php?game_id=4468,4468,30
6810,2014-04-04,Dan Pawson,Maria Wenglinsky,Keith Whitener,Battle of the Decades: The 2000s game 5.,http://www.j-archive.com/showgame.php?game_id=4464,4464,30
6809,2014-04-03,Michael Falk,Ken Jennings,Vinita Kailasanath,Battle of the Decades: The 2000s game 4.,http://www.j-archive.com/showgame.php?game_id=4465,4465,30
6808,2014-04-02,Tom Kavanaugh,Larissa Kelly,Russ Schumacher,Battle of the Decades: The 2000s game 3.,http://www.j-archive.com/showgame.php?game_id=4463,4463,30
6807,2014-04-01,Vijay Balse,Roger Craig,Stephanie Jass,Battle of the Decades: The 2000s game 2.,http://www.j-archive.com/showgame.php?game_id=4461,4461,30
6806,2014-03-31,Colby Burnett,Celeste DiNucci,Tom Nissley,Battle of the Decades: The 2000s game 1.,http://www.j-archive.com/showgame.php?game_id=4462,4462,30
6805,2014-03-28,Amy Nienaber,Douglas Beeler,Julia Levine,,http://www.j-archive.com/showgame.php?game_id=4457,4457,30
6804,2014-03-27,Clay Walls,Amy Nienaber,Emily Waltenbaugh,,http://www.j-archive.com/showgame.php?game_id=4459,4459,30
6803,2014-03-26,Nancy Akerman,Clay Walls,Deborah Ellis,,http://www.j-archive.com/showgame.php?game_id=4456,4456,30
6802,2014-03-25,Nancy Akerman,Matt Prasse,Nathan Chadwick,,http://www.j-archive.com/showgame.php?game_id=4454,4454,30
6801,2014-03-24,Joe Morse,Nancy Akerman,Derek Arnold,,http://www.j-archive.com/showgame.php?game_id=4453,4453,30
6800,2014-03-21,Diane Levinson,Lindsay Wilson,Joe Morse,,http://www.j-archive.com/showgame.php?game_id=4451,4451,30
6799,2014-03-20,Gabor Revy,Brendan Getzell,Diane Levinson,,http://www.j-archive.com/showgame.php?game_id=4455,4455,30
6798,2014-03-19,Nick Durazo,Gabor Revy,Susan Shikany,,http://www.j-archive.com/showgame.php?game_id=4450,4450,30
6797,2014-03-18,Gordon Graham,Nick Durazo,Nora Morrison,,http://www.j-archive.com/showgame.php?game_id=4449,4449,30
6796,2014-03-17,Thad McCollum,Jen Cosgrove,Gordon Graham,,http://www.j-archive.com/showgame.php?game_id=4448,4448,30
6795,2014-03-14,Matt Kish,Thad McCollum,Cameron Yahr,,http://www.j-archive.com/showgame.php?game_id=4447,4447,30
6794,2014-03-13,Diana Peloquin,Matt Kish,Jessica Rebel,,http://www.j-archive.com/showgame.php?game_id=4446,4446,30
6793,2014-03-12,Arthur Chu,Julie Hornick,Diana Peloquin,Arthur Chu game 12.,http://www.j-archive.com/showgame.php?game_id=4445,4445,30
6792,2014-03-11,Arthur Chu,Kirsten Albair,Tony Knechtges,Arthur Chu game 11.,http://www.j-archive.com/showgame.php?game_id=4444,4444,30
6791,2014-03-10,Arthur Chu,Michelle Sheffer,Sean Sullivan,Arthur Chu game 10.,http://www.j-archive.com/showgame.php?game_id=4443,4443,30
6790,2014-03-07,Jill Bunzendahl Chimka,Mike Dupée,Brad Rutter,Battle of the Decades: The 1990s game 5.,http://www.j-archive.com/showgame.php?game_id=4442,4442,30
6789,2014-03-06,Dave Abbott,Mark Dawson,Claudia Perry,Battle of the Decades: The 1990s game 4.,http://www.j-archive.com/showgame.php?game_id=4441,4441,30
6788,2014-03-05,Robin Carroll,Bob Harris,Shane Whitlock,Battle of the Decades: The 1990s game 3.,http://www.j-archive.com/showgame.php?game_id=4440,4440,30
6787,2014-03-04,Fritz Holznagel,Dan Melia,Pam Mueller,Battle of the Decades: The 1990s game 2.,http://www.j-archive.com/showgame.php?game_id=4439,4439,30
6786,2014-03-03,Rachael Schwartz,Babu Srinivasan,Eddie Timanus,Battle of the Decades: The 1990s game 1.,http://www.j-archive.com/showgame.php?game_id=4438,4438,30
6785,2014-02-28,Arthur Chu,Semret Lemma,Dawn Volmert,Arthur Chu game 9.,http://www.j-archive.com/showgame.php?game_id=4437,4437,30
6784,2014-02-27,Arthur Chu,Chris Sánchez,Claire Tuley,Arthur Chu game 8.,http://www.j-archive.com/showgame.php?game_id=4436,4436,30
6783,2014-02-26,Arthur Chu,Lindsey Stallings,Stephen Mellis,Arthur Chu game 7.,http://www.j-archive.com/showgame.php?game_id=4435,4435,30
6782,2014-02-25,Arthur Chu,Padraic Connelly,Myfanwy Davies,Arthur Chu game 6.,http://www.j-archive.com/showgame.php?game_id=4434,4434,30
6781,2014-02-24,Arthur Chu,Sofi Albizuri,Josh McIlvain,Arthur Chu game 5.,http://www.j-archive.com/showgame.php?game_id=4433,4433,30
6780,2014-02-21,Kevin Shen,Tucker Pope,Terry O'Shea,2014 College Championship final game 2.,http://www.j-archive.com/showgame.php?game_id=4432,4432,30
6779,2014-02-20,Kevin Shen,Tucker Pope,Terry O'Shea,2014 College Championship final game 1.,http://www.j-archive.com/showgame.php?game_id=4431,4431,30
6778,2014-02-19,Kevin Shen,Erika Sloan,Julia Clark,2014 College Championship semifinal game 3.,http://www.j-archive.com/showgame.php?game_id=4430,4430,30
6777,2014-02-18,Terry O'Shea,Ben Juster,Eric Turner,2014 College Championship semifinal game 2.,http://www.j-archive.com/showgame.php?game_id=4429,4429,30
6776,2014-02-17,Laurie Beckoff,Tucker Pope,Whitney Thompson,2014 College Championship semifinal game 1.,http://www.j-archive.com/showgame.php?game_id=4428,4428,30
6775,2014-02-14,Maria Khrakovsky,Erika Sloan,Alex Sventeckis,2014 College Championship quarterfinal game 5.,http://www.j-archive.com/showgame.php?game_id=4426,4426,30
6774,2014-02-13,Julia Clark,Tucker Pope,Eric Turner,2014 College Championship quarterfinal game 4.,http://www.j-archive.com/showgame.php?game_id=4425,4425,30
6773,2014-02-12,Kenesha Bennett,Terry O'Shea,Kevin Shen,2014 College Championship quarterfinal game 3.,http://www.j-archive.com/showgame.php?game_id=4424,4424,30
6772,2014-02-11,Laurie Beckoff,Ben Juster,Cameron Kim,2014 College Championship quarterfinal game 2.,http://www.j-archive.com/showgame.php?game_id=4423,4423,30
6771,2014-02-10,James Fulwiler,Sarah Stevens,Whitney Thompson,2014 College Championship quarterfinal game 1.,http://www.j-archive.com/showgame.php?game_id=4422,4422,30
6770,2014-02-07,Tom Cubbage,Jerome Vered,Bob Verini,Battle of the Decades: The 1980s game 5.,http://www.j-archive.com/showgame.php?game_id=4421,4421,30
6769,2014-02-06,Phoebe Juel,Mark Lowenthal,Frank Spangenberg,Battle of the Decades: The 1980s game 4.,http://www.j-archive.com/showgame.php?game_id=4420,4420,30
6768,2014-02-05,Richard Cordray,Tom Nosek,Leslie Shannon,Battle of the Decades: The 1980s game 3.,http://www.j-archive.com/showgame.php?game_id=4419,4419,30
6767,2014-02-04,Leslie Frates,Leszek Pawlowicz,Andrew Westney,Battle of the Decades: The 1980s game 2.,http://www.j-archive.com/showgame.php?game_id=4417,4417,30
6766,2014-02-03,India Cooper,Chuck Forrest,Jim Scott,Battle of the Decades: The 1980s game 1.,http://www.j-archive.com/showgame.php?game_id=4416,4416,30
6765,2014-01-31,Arthur Chu,Tarn Allen,Don Gwinn,Arthur Chu game 4.,http://www.j-archive.com/showgame.php?game_id=4415,4415,30
6764,2014-01-30,Arthur Chu,Carolyn Collins,Maura McKenna,Arthur Chu game 3.,http://www.j-archive.com/showgame.php?game_id=4413,4413,30
6763,2014-01-29,Arthur Chu,Erik Post,Carolyn Collins,Arthur Chu game 2.,http://www.j-archive.com/showgame.php?game_id=4411,4411,30
6762,2014-01-28,Julie Singer,Arthur Chu,Cesar Perez-Gonzalez,Arthur Chu game 1.,http://www.j-archive.com/showgame.php?game_id=4408,4408,30
6761,2014-01-27,Chip Bell,Julie Singer,Bill Hammon,,http://www.j-archive.com/showgame.php?game_id=4409,4409,30
6760,2014-01-24,Chip Bell,Joe Thomas,Dana Murray,,http://www.j-archive.com/showgame.php?game_id=4406,4406,30
6759,2014-01-23,Karen Ruckert,Jennifer Cross Miller,Chip Bell,,http://www.j-archive.com/showgame.php?game_id=4405,4405,30
6758,2014-01-22,Priscilla Emery,Karen Ruckert,Zachary Tomanelli,,http://www.j-archive.com/showgame.php?game_id=4402,4402,30
6757,2014-01-21,Sarah McNitt,Priscilla Emery,Emily Gadek,Sarah McNitt game 6.,http://www.j-archive.com/showgame.php?game_id=4399,4399,30
6756,2014-01-20,Sarah McNitt,Blake Perkins,Jon McGuire,Sarah McNitt game 5.,http://www.j-archive.com/showgame.php?game_id=4400,4400,30
6755,2014-01-17,Sarah McNitt,Jen Aprahamian,Geoff Norcross,Sarah McNitt game 4.,http://www.j-archive.com/showgame.php?game_id=4398,4398,30
6754,2014-01-16,Sarah McNitt,Gudrun Juffer,Stacy Meyers,Sarah McNitt game 3.,http://www.j-archive.com/showgame.php?game_id=4397,4397,30
6753,2014-01-15,Sarah McNitt,Emily Goodlander,Danny Jacobs,Sarah McNitt game 2.,http://www.j-archive.com/showgame.php?game_id=4396,4396,30
6752,2014-01-14,Michelle DeGrothy,Sarah McNitt,Osei Boakye,Sarah McNitt game 1.,http://www.j-archive.com/showgame.php?game_id=4393,4393,30
6751,2014-01-13,Michelle DeGrothy,Miriam Musco,Matthew Linnabary,,http://www.j-archive.com/showgame.php?game_id=4394,4394,30
6750,2014-01-10,Seth Tribble,Michelle DeGrothy,Adrian Ho,,http://www.j-archive.com/showgame.php?game_id=4391,4391,30
6749,2014-01-09,Dinu Nesan,Marika Kuspa,Seth Tribble,,http://www.j-archive.com/showgame.php?game_id=4392,4392,30
6748,2014-01-08,Andrew Nelson,Dinu Nesan,Julia Dye,,http://www.j-archive.com/showgame.php?game_id=4390,4390,30
6747,2014-01-07,Mary Manhardt,Carolyn Gawlik,Andrew Nelson,,http://www.j-archive.com/showgame.php?game_id=4389,4389,30
6746,2014-01-06,Sarah Olson,Eric Brach,Mary Manhardt,,http://www.j-archive.com/showgame.php?game_id=4387,4387,30
6745,2014-01-03,Sarah Olson,Ilissa Gold,Lee May,,http://www.j-archive.com/showgame.php?game_id=4388,4388,30
6744,2014-01-02,Jerry Slowik,Sarah Olson,Rachel Samberg,Jerry Slowik game 6.,http://www.j-archive.com/showgame.php?game_id=4386,4386,30
6743,2014-01-01,Jerry Slowik,Bridget O'Donnell,John Coulter,Jerry Slowik game 5.,http://www.j-archive.com/showgame.php?game_id=4385,4385,30
6742,2013-12-31,Jerry Slowik,Alyson Murray,Reggie Austin,Jerry Slowik game 4.,http://www.j-archive.com/showgame.php?game_id=4384,4384,30
6741,2013-12-30,Jerry Slowik,Armen Terjimanian,Alexis Browsh,Jerry Slowik game 3.,http://www.j-archive.com/showgame.php?game_id=4383,4383,30
6740,2013-12-27,Jerry Slowik,Avram Polinsky,Kathy Cacace,Jerry Slowik game 2.,http://www.j-archive.com/showgame.php?game_id=4381,4381,30
6739,2013-12-26,Anthony Niblett,Jerry Slowik,Geneviève LeClerc,Jerry Slowik game 1.,http://www.j-archive.com/showgame.php?game_id=4382,4382,30
6738,2013-12-25,Larry White,Anthony Niblett,Roxann Smith,,http://www.j-archive.com/showgame.php?game_id=4379,4379,30
6737,2013-12-24,Larry White,Bonita Dominguez,Missy Flood,,http://www.j-archive.com/showgame.php?game_id=4380,4380,30
6736,2013-12-23,Jon Choi,Kristina Lukach,Larry White,,http://www.j-archive.com/showgame.php?game_id=4378,4378,30
6735,2013-12-20,Varun Shekhar,Greg Munda,Jon Choi,,http://www.j-archive.com/showgame.php?game_id=4377,4377,30
6734,2013-12-19,Varun Shekhar,Mary Gildea,Jenna Johnson,,http://www.j-archive.com/showgame.php?game_id=4376,4376,30
6733,2013-12-18,Matthew Church,Curtis Morales,Varun Shekhar,,http://www.j-archive.com/showgame.php?game_id=4374,4374,30
6732,2013-12-17,Matthew Church,Sandy Howard,Debbie Singer,,http://www.j-archive.com/showgame.php?game_id=4375,4375,30
6731,2013-12-16,Tiffany Gholar,Betsy Foss,Matthew Church,,http://www.j-archive.com/showgame.php?game_id=4373,4373,30
6730,2013-12-13,Woody Bell,Tiffany Gholar,Evan Struble,,http://www.j-archive.com/showgame.php?game_id=4372,4372,30
6729,2013-12-12,Meredith Larson,Rachel Hirsch,Woody Bell,,http://www.j-archive.com/showgame.php?game_id=4371,4371,30
6728,2013-12-11,Meredith Larson,Donna Fairweather-Foley,Sam Bernhard,,http://www.j-archive.com/showgame.php?game_id=4370,4370,30
6727,2013-12-10,"Craig Cornish, Jr.",Phil Lowe,Meredith Larson,,http://www.j-archive.com/showgame.php?game_id=4369,4369,30
6726,2013-12-09,"Craig Cornish, Jr.",Murray Weiss,Reem Fattouh,,http://www.j-archive.com/showgame.php?game_id=4368,4368,30
6725,2013-12-06,Carlos Ross,"Craig Cornish, Jr.",Franke Santos,,http://www.j-archive.com/showgame.php?game_id=4367,4367,30
6724,2013-12-05,Carlos Ross,Cecilia Cuevas,Tahne Aarnes,Audience marriage proposal: John and Sahar.,http://www.j-archive.com/showgame.php?game_id=4366,4366,30
6723,2013-12-04,Carlos Ross,Kaya Blauvelt,Brock Thompson,,http://www.j-archive.com/showgame.php?game_id=4365,4365,30
6722,2013-12-03,Scott Claremon,Carlos Ross,Tina Nguyen,"Alex announces Andy Westney (1980s), Shane Whitlock (1990s), and Tom...",http://www.j-archive.com/showgame.php?game_id=4364,4364,30
6721,2013-12-02,Steven Durham,Scott Claremon,Maura DeGrande,,http://www.j-archive.com/showgame.php?game_id=4363,4363,30
6720,2013-11-29,Steven Durham,Bryce Johnson,Tracy Carlson,,http://www.j-archive.com/showgame.php?game_id=4362,4362,30
6719,2013-11-28,John Kyle Grady,Whitney Magendie,Steven Durham,,http://www.j-archive.com/showgame.php?game_id=4361,4361,30
6718,2013-11-27,Mike Nickel,Shanna Lafferty,John Kyle Grady,,http://www.j-archive.com/showgame.php?game_id=4360,4360,30
6717,2013-11-26,Rani Peffer,Mike Nickel,Janel Stogdill,Rani Peffer game 6.,http://www.j-archive.com/showgame.php?game_id=4359,4359,30
6716,2013-11-25,Rani Peffer,Johnna Mahoney,James Kosmatka,Rani Peffer game 5.,http://www.j-archive.com/showgame.php?game_id=4358,4358,30
6715,2013-11-22,Mary Beth Hammerstrom,Becky Giardina,John Pearson,2013 Teachers Tournament final game 2.,http://www.j-archive.com/showgame.php?game_id=4357,4357,30
6714,2013-11-21,Mary Beth Hammerstrom,Becky Giardina,John Pearson,2013 Teachers Tournament final game 1.,http://www.j-archive.com/showgame.php?game_id=4356,4356,30
