number,date,player1,player2,player3,note,url,id,season
2734,1996-06-20,Mary Hirschfeld,Mark Lambert,Anita Cohen,Mary Hirschfeld  game 4.,http://www.j-archive.com/showgame.php?game_id=5538,5538,12
2733,1996-06-19,Mary Hirschfeld,Sally Cassil,Lyndia Lowy,Mary Hirschfeld game 3.,http://www.j-archive.com/showgame.php?game_id=5401,5401,12
2732,1996-06-18,Mary Hirschfeld,Don Juergens,Vanessa Whittemore,Mary Hirschfeld game 2.,http://www.j-archive.com/showgame.php?game_id=4209,4209,12
2731,1996-06-17,Steve Hafner,Mary Hirschfeld,Brock Putnam,Mary Hirschfeld game 1.,http://www.j-archive.com/showgame.php?game_id=4206,4206,12
2730,1996-06-14,Rick Muenchow,Steve Hafner,Phil Costopolous,,http://www.j-archive.com/showgame.php?game_id=5537,5537,12
2729,1996-06-13,Bill Cash,Rick Muenchow,Mary Ann McIntyre,,http://www.j-archive.com/showgame.php?game_id=4144,4144,12
2728,1996-06-12,Barb Cornell,Bill Cash,Lee Karjala,,http://www.j-archive.com/showgame.php?game_id=4141,4141,12
2727,1996-06-11,Bob Hunt,Cash Tilton,Barb Cornell,,http://www.j-archive.com/showgame.php?game_id=5536,5536,12
2726,1996-06-10,Bob Hunt,Jack Ramieri,Rosemary Webb,,http://www.j-archive.com/showgame.php?game_id=6209,6209,12
2717,1996-05-28,Steve Cunningham,Alexandra Grochol,Dan Streit,,http://www.j-archive.com/showgame.php?game_id=5549,5549,12
2716,1996-05-27,Don Lemmer,Steve Cunningham,Sharon Heiman,,http://www.j-archive.com/showgame.php?game_id=4152,4152,12
2714,1996-05-23,Peter Hartikka,Doris Smith,Diana Valenzuela,,http://www.j-archive.com/showgame.php?game_id=5552,5552,12
2713,1996-05-22,Brian Flanagan,Peter Hartikka,Ann Gibney,,http://www.j-archive.com/showgame.php?game_id=4205,4205,12
2712,1996-05-21,Brian Flanagan,Anne Keever Cannon,Wes Hanson,,http://www.j-archive.com/showgame.php?game_id=5402,5402,12
2710,1996-05-17,Derek Bridges,Amanda Goad,Joe Gurski,1996 Teen Tournament final game 2.,http://www.j-archive.com/showgame.php?game_id=1152,1152,12
2709,1996-05-16,Derek Bridges,Amanda Goad,Joe Gurski,1996 Teen Tournament final game 1.,http://www.j-archive.com/showgame.php?game_id=1151,1151,12
2700,1996-05-03,Judy Riley,Shannon Champion,Jeff Gorsky,,http://www.j-archive.com/showgame.php?game_id=5546,5546,12
2698,1996-05-01,Dave Cook,Judy Riley,Sean Kelly,,http://www.j-archive.com/showgame.php?game_id=5543,5543,12
2697,1996-04-30,Dave Cook,Girts Lorencis,Janet Grunwald,,http://www.j-archive.com/showgame.php?game_id=5542,5542,12
2695,1996-04-26,Beverly Spurs,Charles Whetsel,Edith Balbach,Beverly Spurs game 4.,http://www.j-archive.com/showgame.php?game_id=5394,5394,12
2689,1996-04-18,Tim Toburen,Leslie Bitner,Steve Shimberg,,http://www.j-archive.com/showgame.php?game_id=5547,5547,12
2686,1996-04-15,Michael Dupee,Bea Kosla,Jeff Corrigan,Michael Dupée game 5.,http://www.j-archive.com/showgame.php?game_id=425,425,12
2685,1996-04-12,Michael Dupee,Joe McNamara,Bruce Clark,Michael Dupée game 4.,http://www.j-archive.com/showgame.php?game_id=423,423,12
2684,1996-04-11,Michael Dupee,Bernie Altman,Sally Hardey,Michael Dupée game 3.,http://www.j-archive.com/showgame.php?game_id=5414,5414,12
2683,1996-04-10,Ron Jin,Michael Dupee,Ann Taliaferro Curtaz,Michael Dupée game 2.,http://www.j-archive.com/showgame.php?game_id=187,187,12
2682,1996-04-09,Rick Blumenfeld,Ron Jin,Michael Dupee,Michael Dupée game 1.,http://www.j-archive.com/showgame.php?game_id=186,186,12
2680,1996-04-05,David Sampugnaro,Rob Kalisch,Carol Reed,David Sampugnaro game 5.,http://www.j-archive.com/showgame.php?game_id=562,562,12
2679,1996-04-04,David Sampugnaro,Vince Mohan,John Fitzgibbon,David Sampugnaro game 4.,http://www.j-archive.com/showgame.php?game_id=559,559,12
